Wall time,Step,Value
1729021872.3632298,1,107.93000030517578
1729021886.4461887,2,-98.05999755859375
1729021998.3414195,4,-200.00999450683594
1729022123.8097613,5,-93.7300033569336
1729022184.6272476,6,-200.0
1729022227.4356995,7,-98.16000366210938
1729022283.2732308,8,-98.19999694824219
1729022437.4891624,9,-200.00999450683594
1729022483.6927085,10,-200.00999450683594
1729022516.5627756,11,-200.0399932861328
1729022565.36444,12,-200.1300048828125
1729022801.7234533,13,-94.44999694824219
1729022844.4706933,14,-200.10000610351562
1729022862.3850417,15,-100.11000061035156
1729022885.768283,16,-200.00999450683594
1729023079.4468892,17,-200.0
1729023110.9725602,18,-99.3499984741211
1729023150.5611525,19,-98.2300033569336
1729023204.4892497,20,-99.16999816894531
1729023474.0796106,21,-99.26000213623047
1729023560.0392787,22,-200.0
1729023594.935213,23,-98.26000213623047
1729023603.2962792,24,105.97000122070312
1729023866.129331,25,-99.36000061035156
1729023927.5392463,26,-200.16000366210938
1729024108.4829047,28,-95.56999969482422
1729024468.697265,31,-200.08999633789062
1729024559.541312,32,107.23999786376953
1729024875.0944843,33,-200.0
1729024925.674891,34,-200.0
1729025021.7426686,35,-96.80999755859375
1729025433.5193448,37,-200.0
1729025532.7268872,38,-92.0199966430664
1729025631.9449513,39,-97.11000061035156
1729025682.5423038,40,-200.10000610351562
1729026086.4622529,41,-100.58999633789062
1729026185.5296397,43,109.95999908447266
1729026286.1384022,44,-98.91000366210938
1729026711.823275,45,-96.66000366210938
1729026767.052126,46,-200.0
1729026785.650796,47,109.88999938964844
1729026852.2869937,48,-99.41999816894531
1729027247.9257047,50,-200.0
1729027252.680102,51,106.97000122070312
1729027692.9726813,53,-99.97000122070312
1729027712.897213,54,107.91999816894531
1729027725.6249597,55,-98.12999725341797
1729027787.1483839,56,-200.0
1729028087.4671872,57,-200.00999450683594
1729028097.763777,58,-98.08000183105469
1729028164.402357,60,-98.62000274658203
1729028495.5057204,61,107.18000030517578
1729028572.4670558,62,109.22000122070312
1729028653.8501,63,108.37999725341797
1729028759.9743836,64,-96.06999969482422
1729029037.8448055,65,107.80000305175781
1729029076.05665,66,109.54000091552734
1729029154.0300767,67,107.98999786376953
1729029216.3800013,68,109.51000213623047
1729029511.6784637,69,-200.0
1729029565.5579097,70,108.56999969482422
1729029704.7161005,72,-200.00999450683594
1729029973.4137988,73,-98.1500015258789
1729029996.526073,74,-200.00999450683594
1729030052.8430657,75,108.3499984741211
1729030084.39156,76,108.68000030517578
1729030343.427087,77,109.52999877929688
1729030376.6468399,78,108.2699966430664
1729030383.5137599,79,108.76000213623047
1729030395.9706352,80,-98.31999969482422
1729030548.388201,82,-98.37999725341797
1729030566.2570102,83,108.44999694824219
1729030737.6390843,85,-200.02000427246094
1729030743.8570228,86,109.83000183105469
1729030755.2575693,87,108.58000183105469
1729030769.9735632,88,-98.5
1729030892.3269942,89,108.76000213623047
1729030915.4381678,90,109.1500015258789
1729030944.0819383,92,109.55000305175781
1729031085.8011374,93,109.2300033569336
1729031109.8898883,94,108.05000305175781
1729031132.7793565,95,109.16000366210938
1729031144.745349,96,-99.30999755859375
1729031307.1615262,97,-98.7699966430664
1729031309.226566,98,106.9800033569336
1729031375.1451979,100,-98.54000091552734
1729031536.1936502,101,108.0
1729031572.0538657,102,-93.02999877929688
1729031608.0163426,103,-96.0199966430664
1729031627.1912248,104,-200.0
1729031831.144186,105,-93.30000305175781
1729031870.2306542,106,-99.08000183105469
1729031899.1826994,107,-200.0
1729032135.5318623,109,108.18000030517578
1729032140.88788,110,-99.12000274658203
1729032141.7006216,111,102.98999786376953
1729032143.2059393,112,102.97000122070312
1729032302.6602647,113,-200.0
1729032315.4747813,114,-99.16000366210938
1729032354.5535586,115,-96.63999938964844
1729032393.141615,116,-97.91000366210938
1729032572.0770743,117,-98.80999755859375
1729032593.1144545,118,-200.07000732421875
1729032608.701878,119,-200.11000061035156
1729032637.0340044,120,-99.19999694824219
1729032819.599679,121,-99.98999786376953
1729032846.336241,122,-99.11000061035156
1729032850.9123788,123,-200.02000427246094
1729032880.1708698,124,-200.10000610351562
1729033053.464176,125,108.86000061035156
1729033085.0070982,126,108.41999816894531
1729033128.1635828,127,-95.98999786376953
1729033147.843113,128,-98.69999694824219
1729033378.6644616,130,108.98999786376953
1729033391.2785492,131,-99.44999694824219
1729033660.0208755,134,108.83999633789062
1729033702.2571614,135,106.98999786376953
1729033925.146422,137,-98.2699966430664
1729033943.8373053,138,-98.80999755859375
1729033980.9656754,140,-99.58000183105469
1729034233.1000965,142,108.08000183105469
1729034242.7132173,143,107.66999816894531
1729034272.2470107,144,-200.07000732421875
1729034480.3052094,145,-200.25
1729034504.401876,146,108.0
1729034517.0060022,147,-98.47000122070312
1729034722.1820014,149,-200.00999450683594
1729034723.7486901,150,-200.0
1729034752.3813078,151,-200.0
1729034768.4510639,152,-200.0
1729034946.6557639,154,-98.58999633789062
1729034950.7670162,155,-98.12999725341797
1729034954.9543371,156,-99.1500015258789
1729035120.5122836,157,107.77999877929688
1729035143.5370984,158,107.88999938964844
1729035153.187222,159,-98.43000030517578
1729035185.1222186,160,-200.4600067138672
1729035352.421535,162,-200.0500030517578
1729035362.8151798,163,-200.0
1729035559.469043,165,-200.00999450683594
1729035605.5514708,166,-100.80000305175781
1729035620.5842736,168,-98.31999969482422
1729035813.8085356,169,106.55999755859375
1729035863.3912988,170,-98.91999816894531
1729035889.458227,172,-98.5
1729036081.252625,173,-200.91000366210938
1729036131.09929,174,-100.05000305175781
1729036194.3488197,176,-99.26000213623047
1729036378.3701656,177,-98.25
1729036393.840521,178,109.0
1729036434.8595786,179,-101.5
1729036678.4581318,181,109.01000213623047
1729036705.7032478,182,107.1500015258789
1729036730.8934445,183,108.16999816894531
1729036768.8280296,184,107.19000244140625
1729036944.3638928,185,-200.25
1729036945.0554285,186,102.0
1729036974.326553,187,-200.6199951171875
1729037026.0867918,188,-94.38999938964844
1729037242.5320222,189,-94.83000183105469
1729037313.043181,191,-201.85000610351562
1729037321.2534697,192,-98.58000183105469
1729037595.296482,195,9.0600004196167
1729037913.5820568,199,106.62999725341797
1729037931.6636355,200,-99.20999908447266
1729038168.6283705,201,106.13999938964844
1729038189.7204127,202,-200.44000244140625
1729038209.7088015,203,108.58000183105469
1729038248.43785,204,-201.52999877929688
1729038462.491946,206,108.51000213623047
1729038500.088866,207,-201.3800048828125
1729038518.4547281,208,-200.1999969482422
1729038729.7372086,209,-201.3000030517578
1729038758.8485696,210,107.80000305175781
1729038960.9059246,213,-200.1699981689453
1729038978.7042499,214,107.7300033569336
1729038986.8830404,215,107.48999786376953
1729039018.7199662,216,-100.3499984741211
1729039193.217066,217,108.5
1729039212.8855715,218,-201.2100067138672
1729039228.5540495,219,-98.95999908447266
1729039240.3877962,220,108.1500015258789
1729039418.4561543,221,107.41000366210938
1729039422.2435088,222,105.76000213623047
1729039437.9326963,223,108.80999755859375
1729039440.1149757,224,105.9000015258789
1729039600.390216,226,107.36000061035156
1729039617.9404497,227,-200.25999450683594
1729039622.469307,228,106.75
1729039783.7668316,230,109.1500015258789
1729039790.0326982,231,107.58000183105469
1729039843.5959704,232,-93.94999694824219
1729039976.7314796,233,108.69999694824219
1729039992.910485,234,108.8499984741211
1729040000.3744972,235,108.51000213623047
1729040005.9500625,236,107.58000183105469
1729040174.791694,238,-200.3800048828125
1729040191.3570845,239,108.80999755859375
1729040356.0014093,241,108.58999633789062
1729040381.9783752,242,107.18000030517578
1729040391.0886347,243,107.4000015258789
1729040562.7844644,245,107.66000366210938
1729040575.269436,246,-200.61000061035156
1729040582.6151948,247,107.4800033569336
1729040617.073813,248,-201.08999633789062
1729040756.2420018,249,107.8499984741211
1729040760.2108848,250,105.72000122070312
1729040773.3332908,251,108.04000091552734
1729040779.1218908,252,107.62000274658203
1729040904.9734404,253,107.5999984741211
1729040923.5275817,254,-201.0500030517578
1729040932.1861553,255,-98.56999969482422
1729040956.6597002,256,-99.80000305175781
1729041104.8634584,257,-100.33000183105469
1729041132.4939566,259,108.9800033569336
1729041147.0188382,260,-98.77999877929688
1729041273.2064571,261,107.37999725341797
1729041310.3785043,262,-100.52999877929688
1729041386.8399515,264,-101.44999694824219
1729041525.2855232,265,-99.52999877929688
1729041555.4234834,266,-200.22000122070312
1729041594.4367504,268,109.12999725341797
1729041752.522017,270,9.630000114440918
1729041760.325359,272,109.7300033569336
1729041903.5849063,273,-200.0399932861328
1729041940.017859,274,-200.9499969482422
1729041958.9531698,275,-98.97000122070312
1729041981.1238904,276,-100.19000244140625
1729042115.5643659,278,109.58000183105469
1729042144.1618922,279,-200.0
1729042172.4021573,280,-201.19000244140625
1729042311.8370473,281,107.47000122070312
1729042336.4226153,282,-200.88999938964844
1729042345.6564846,283,109.43000030517578
1729042377.6888628,284,-200.6300048828125
1729042517.102255,285,107.37999725341797
1729042683.2655933,290,104.41000366210938
1729042696.3851216,292,108.56999969482422
1729042799.9853153,293,108.44999694824219
1729042838.8854032,295,108.94000244140625
1729042844.6978636,296,109.5999984741211
1729042961.9371035,297,108.41000366210938
1729042970.2385972,298,109.43000030517578
1729042980.7478974,299,108.26000213623047
1729042989.3861992,300,108.41000366210938
1729043092.5043242,301,108.36000061035156
1729043123.0718837,302,-200.77999877929688
1729043135.3055522,303,-99.9000015258789
1729043144.198431,304,109.38999938964844
1729043252.7973242,305,-98.87999725341797
1729043323.1840117,308,-200.2899932861328
1729043435.2181435,309,-99.56999969482422
1729043452.7904906,310,-99.66999816894531
1729043465.5956614,311,-99.55999755859375
1729043482.5105197,312,-200.02999877929688
1729043613.066202,314,-98.41999816894531
1729043626.507526,315,-99.55999755859375
1729043663.3486114,316,-200.85000610351562
1729043799.3969736,317,-100.08999633789062
1729043803.0122156,318,108.83000183105469
1729043846.0837448,319,-101.08000183105469
1729043861.3642333,320,-98.69999694824219
1729043983.3777275,321,-99.45999908447266
1729043992.9608102,322,-98.41999816894531
1729043995.766256,323,105.87999725341797
1729044007.9337106,324,-200.33999633789062
1729044134.656901,325,109.19999694824219
1729044151.0718338,326,-200.07000732421875
1729044173.371378,327,-99.06999969482422
1729044177.4438293,328,-98.16000366210938
1729044294.3304968,329,103.83999633789062
1729044359.6002617,331,-200.50999450683594
1729044361.2364128,332,103.93000030517578
1729044519.335065,334,109.12999725341797
1729044549.8227403,336,-98.47000122070312
1729044745.4235723,338,-94.69999694824219
1729044775.2835991,339,-200.36000061035156
1729044807.9033031,340,-201.25999450683594
1729044952.7792058,341,109.38999938964844
1729044966.6028855,342,-200.77000427246094
1729044985.1632195,343,107.68000030517578
1729045003.8141308,344,-200.8800048828125
1729045182.7295303,345,-101.30999755859375
1729045184.8776007,346,-98.12000274658203
1729045214.7985337,347,-200.55999755859375
1729045233.0981107,348,106.68000030517578
1729045389.9389806,349,109.16999816894531
1729045416.7823837,350,108.05000305175781
1729045436.913665,351,106.69000244140625
1729045447.1689546,352,108.33999633789062
1729045604.479437,353,107.62999725341797
1729045608.2044191,354,104.80999755859375
1729045626.8092618,355,-200.25999450683594
1729045644.898482,356,107.76000213623047
1729045784.9129338,357,109.25
1729045797.0588775,358,-98.87999725341797
1729045803.423573,359,107.51000213623047
1729045810.980437,360,108.51000213623047
1729045931.553183,361,-200.63999938964844
1729045954.9844637,362,10.270000457763672
1729045977.082754,363,108.47000122070312
1729045985.9203207,364,109.41000366210938
1729046094.5002666,365,108.51000213623047
1729046128.2681537,366,107.55999755859375
1729046134.503646,367,107.55000305175781
1729046140.2013664,368,107.58999633789062
1729046268.0244522,369,106.83999633789062
1729046318.7512734,371,107.94000244140625
1729046329.1033428,372,108.18000030517578
1729046485.5508406,374,-99.23999786376953
1729046511.0232732,375,-200.5399932861328
1729046541.405949,376,-200.30999755859375
1729046679.0492053,377,108.48999786376953
1729046717.6172981,378,106.41999816894531
1729046770.3036728,379,-98.37000274658203
1729046789.5708845,380,-99.18000030517578
1729046981.3213527,382,107.79000091552734
1729047016.4892178,383,-201.16000366210938
